Model,class,precision,recall,f1_score,support
model1647,4,0.23,0.2,0.21,25
model1648,0,0.98,0.93,0.95,367
model1648,1,0.24,0.48,0.32,27
model1648,2,0.6,0.45,0.51,123
model1648,3,0.21,0.41,0.28,29
model1648,4,0.23,0.2,0.21,25
model1649,0,0.98,0.93,0.95,367
model1649,1,0.24,0.48,0.32,27
model1649,2,0.62,0.55,0.58,123
model1649,3,0.21,0.28,0.24,29
model1649,4,0.23,0.2,0.21,25
model1655,0,0.98,0.93,0.95,367
model1655,1,0.24,0.48,0.32,27
model1655,2,0.6,0.6,0.6,123
model1655,3,0.23,0.17,0.2,29
model1655,4,0.29,0.28,0.29,25
model1656,0,0.98,0.93,0.95,367
model1656,1,0.24,0.48,0.32,27
model1656,2,0.58,0.48,0.52,123
model1656,3,0.23,0.34,0.27,29
model1656,4,0.29,0.28,0.29,25
model1657,0,0.98,0.93,0.95,367
model1657,1,0.24,0.48,0.32,27
model1657,2,0.57,0.63,0.6,123
model1657,3,0.42,0.17,0.24,29
model1657,4,0.29,0.28,0.29,25
model1658,0,0.98,0.93,0.95,367
model1658,1,0.24,0.48,0.32,27
model1658,2,0.63,0.46,0.53,123
model1658,3,0.22,0.41,0.29,29
model1658,4,0.29,0.28,0.29,25
model1659,0,0.98,0.93,0.95,367
model1659,1,0.24,0.48,0.32,27
model1659,2,0.64,0.55,0.59,123
model1659,3,0.21,0.28,0.24,29
model1659,4,0.29,0.28,0.29,25
model1725,0,0.98,0.93,0.95,367
model1725,1,0.15,0.81,0.25,27
model1725,2,0.43,0.2,0.28,123
model1725,3,0.21,0.1,0.14,29
model1725,4,0,0,0,25
model1726,0,0.98,0.93,0.95,367
model1726,1,0.15,0.81,0.25,27
model1726,2,0.42,0.15,0.22,123
model1726,3,0.24,0.24,0.24,29
model1726,4,0,0,0,25
model1727,0,0.98,0.93,0.95,367
model1727,1,0.15,0.81,0.25,27
model1727,2,0.42,0.21,0.28,123
model1727,3,0.4,0.14,0.21,29
model1727,4,0,0,0,25
model1728,0,0.98,0.93,0.95,367
model1728,1,0.15,0.81,0.25,27
model1728,2,0.48,0.12,0.19,123
model1728,3,0.2,0.28,0.23,29
model1728,4,0,0,0,25
model1729,0,0.98,0.93,0.95,367
model1729,1,0.15,0.81,0.25,27
model1729,2,0.47,0.17,0.25,123
model1729,3,0.19,0.17,0.18,29
model1729,4,0,0,0,25
model1735,0,0.98,0.93,0.95,367
model1735,1,0.15,0.81,0.25,27
model1735,2,0.47,0.22,0.3,123
model1735,3,0.14,0.07,0.09,29
model1735,4,0.57,0.16,0.25,25
model1736,0,0.98,0.93,0.95,367
model1736,1,0.15,0.81,0.25,27
model1736,2,0.48,0.17,0.25,123
model1736,3,0.21,0.21,0.21,29
model1736,4,0.57,0.16,0.25,25
model1737,0,0.98,0.93,0.95,367
model1737,1,0.15,0.81,0.25,27
model1737,2,0.46,0.24,0.31,123
model1737,3,0.33,0.1,0.16,29
model1737,4,0.57,0.16,0.25,25
model1738,0,0.98,0.93,0.95,367
model1738,1,0.15,0.81,0.25,27
model1738,2,0.53,0.15,0.23,123
model1738,3,0.21,0.28,0.24,29
model1738,4,0.57,0.16,0.25,25
model1739,0,0.98,0.93,0.95,367
model1739,1,0.15,0.81,0.25,27
model1739,2,0.51,0.2,0.28,123
model1739,3,0.2,0.17,0.19,29
model1739,4,0.57,0.16,0.25,25
model1745,0,0.98,0.93,0.95,367
model1745,1,0.15,0.81,0.25,27
model1745,2,0.44,0.2,0.27,123
model1745,3,0.15,0.07,0.1,29
model1745,4,0.27,0.12,0.17,25
model1746,0,0.98,0.93,0.95,367
model1746,1,0.15,0.81,0.25,27
model1746,2,0.43,0.15,0.22,123
model1746,3,0.23,0.21,0.22,29
model1746,4,0.27,0.12,0.17,25
model1747,0,0.98,0.93,0.95,367
model1747,1,0.15,0.81,0.25,27
model1747,2,0.43,0.21,0.28,123
model1747,3,0.38,0.1,0.16,29
model1747,4,0.27,0.12,0.17,25
model1748,0,0.98,0.93,0.95,367
model1748,1,0.15,0.81,0.25,27
model1748,2,0.48,0.11,0.18,123
model1748,3,0.21,0.28,0.24,29
model1748,4,0.27,0.12,0.17,25
model1749,0,0.98,0.93,0.95,367
model1749,1,0.15,0.81,0.25,27
model1749,2,0.49,0.16,0.24,123
model1749,3,0.19,0.17,0.18,29
model1749,4,0.27,0.12,0.17,25
model1755,0,0.98,0.93,0.95,367
model1755,1,0.15,0.81,0.25,27
model1755,2,0.48,0.23,0.31,123
model1755,3,0.15,0.07,0.1,29
model1755,4,0.5,0.16,0.24,25
model1756,0,0.98,0.93,0.95,367
model1756,1,0.15,0.81,0.25,27
model1756,2,0.45,0.16,0.24,123
model1756,3,0.22,0.21,0.21,29
model1756,4,0.5,0.16,0.24,25
model1757,0,0.98,0.93,0.95,367
model1757,1,0.15,0.81,0.25,27
model1757,2,0.47,0.24,0.31,123
model1757,3,0.33,0.1,0.16,29
model1757,4,0.5,0.16,0.24,25
model1758,0,0.98,0.93,0.95,367
model1758,1,0.15,0.81,0.25,27
model1758,2,0.52,0.14,0.22,123
model1758,3,0.21,0.28,0.24,29
model1758,4,0.5,0.16,0.24,25
model1759,0,0.98,0.93,0.95,367
model1759,1,0.15,0.81,0.25,27
model1759,2,0.52,0.19,0.28,123
model1759,3,0.19,0.17,0.18,29
model1759,4,0.5,0.16,0.24,25
model1825,0,0.98,0.93,0.95,367
model1825,1,0.47,0.3,0.36,27
model1825,2,0.58,0.76,0.65,123
model1825,3,0.32,0.28,0.3,29
model1825,4,0.09,0.08,0.09,25
model1826,0,0.98,0.93,0.95,367
model1826,1,0.47,0.3,0.36,27
model1826,2,0.54,0.58,0.56,123
model1826,3,0.24,0.45,0.31,29
model1826,4,0.09,0.08,0.09,25
model1827,0,0.98,0.93,0.95,367
model1827,1,0.47,0.3,0.36,27
model1827,2,0.56,0.76,0.64,123
model1827,3,0.35,0.21,0.26,29
model1827,4,0.09,0.08,0.09,25
model1828,0,0.98,0.93,0.95,367
model1828,1,0.47,0.3,0.36,27
model1828,2,0.6,0.53,0.56,123
model1828,3,0.21,0.55,0.3,29
model1828,4,0.09,0.08,0.09,25
model1829,0,0.98,0.93,0.95,367
model1829,1,0.47,0.3,0.36,27
model1829,2,0.58,0.65,0.61,123
model1829,3,0.17,0.28,0.21,29
model1829,4,0.09,0.08,0.09,25
model1835,0,0.98,0.93,0.95,367
model1835,1,0.47,0.3,0.36,27
model1835,2,0.59,0.76,0.66,123
model1835,3,0.24,0.24,0.24,29
model1835,4,0.33,0.28,0.3,25
model1836,0,0.98,0.93,0.95,367
model1836,1,0.47,0.3,0.36,27
model1836,2,0.56,0.59,0.57,123
model1836,3,0.21,0.41,0.28,29
model1836,4,0.33,0.28,0.3,25
model1837,0,0.98,0.93,0.95,367
model1837,1,0.47,0.3,0.36,27
model1837,2,0.57,0.79,0.66,123
model1837,3,0.31,0.17,0.22,29
model1837,4,0.33,0.28,0.3,25
model1838,0,0.98,0.93,0.95,367
model1838,1,0.47,0.3,0.36,27
model1838,2,0.61,0.54,0.58,123
model1838,3,0.21,0.55,0.3,29
model1838,4,0.33,0.28,0.3,25
model1839,0,0.98,0.93,0.95,367
model1839,1,0.47,0.3,0.36,27
model1839,2,0.6,0.68,0.64,123
model1839,3,0.17,0.28,0.21,29
model1839,4,0.33,0.28,0.3,25
model1845,0,0.98,0.93,0.95,367
model1845,1,0.47,0.3,0.36,27
model1845,2,0.58,0.73,0.65,123
model1845,3,0.25,0.24,0.25,29
model1845,4,0.23,0.24,0.24,25
model1846,0,0.98,0.93,0.95,367
model1846,1,0.47,0.3,0.36,27
model1846,2,0.55,0.59,0.57,123
model1846,3,0.24,0.41,0.3,29
model1846,4,0.23,0.24,0.24,25
model1847,0,0.98,0.93,0.95,367
model1847,1,0.47,0.3,0.36,27
model1847,2,0.56,0.76,0.65,123
model1847,3,0.33,0.17,0.23,29
model1847,4,0.23,0.24,0.24,25
model1848,0,0.98,0.93,0.95,367
model1848,1,0.47,0.3,0.36,27
model1848,2,0.61,0.52,0.56,123
model1848,3,0.21,0.55,0.3,29
model1848,4,0.23,0.24,0.24,25
model1849,0,0.98,0.93,0.95,367
model1849,1,0.47,0.3,0.36,27
model1849,2,0.59,0.65,0.62,123
model1849,3,0.17,0.28,0.21,29
model1849,4,0.23,0.24,0.24,25
model1855,0,0.98,0.93,0.95,367
model1855,1,0.47,0.3,0.36,27
model1855,2,0.6,0.75,0.67,123
model1855,3,0.25,0.24,0.25,29
model1855,4,0.3,0.32,0.31,25
model1856,0,0.98,0.93,0.95,367
model1856,1,0.47,0.3,0.36,27
model1856,2,0.57,0.6,0.58,123
model1856,3,0.24,0.41,0.3,29
model1856,4,0.3,0.32,0.31,25
model1857,0,0.98,0.93,0.95,367
model1857,1,0.47,0.3,0.36,27
model1857,2,0.58,0.77,0.66,123
model1857,3,0.31,0.17,0.22,29
model1857,4,0.3,0.32,0.31,25
model1858,0,0.98,0.93,0.95,367
model1858,1,0.47,0.3,0.36,27
model1858,2,0.62,0.54,0.58,123
model1858,3,0.21,0.55,0.31,29
model1858,4,0.3,0.32,0.31,25
model1859,0,0.98,0.93,0.95,367
model1859,1,0.47,0.3,0.36,27
model1859,2,0.61,0.65,0.63,123
model1859,3,0.16,0.28,0.21,29
model1859,4,0.3,0.32,0.31,25
model1925,0,0.98,0.93,0.95,367
model1925,1,0.3,0.33,0.32,27
model1925,2,0.59,0.7,0.64,123
model1925,3,0.32,0.28,0.3,29
model1925,4,0.09,0.08,0.08,25
model1926,0,0.98,0.93,0.95,367
model1926,1,0.3,0.33,0.32,27
model1926,2,0.55,0.54,0.54,123
model1926,3,0.25,0.45,0.33,29
model1926,4,0.09,0.08,0.08,25
model1927,0,0.98,0.93,0.95,367
model1927,1,0.3,0.33,0.32,27
model1927,2,0.55,0.7,0.62,123
model1927,3,0.35,0.21,0.26,29
model1927,4,0.09,0.08,0.08,25
model1928,0,0.98,0.93,0.95,367
model1928,1,0.3,0.33,0.32,27
model1928,2,0.61,0.49,0.54,123
model1928,3,0.22,0.55,0.31,29
model1928,4,0.09,0.08,0.08,25
model1929,0,0.98,0.93,0.95,367
model1929,1,0.3,0.33,0.32,27
model1929,2,0.59,0.61,0.6,123
model1929,3,0.18,0.28,0.22,29
model1929,4,0.09,0.08,0.08,25
model1935,0,0.98,0.93,0.95,367
model1935,1,0.3,0.33,0.32,27
model1935,2,0.6,0.72,0.66,123
model1935,3,0.24,0.24,0.24,29
model1935,4,0.39,0.28,0.33,25
model1936,0,0.98,0.93,0.95,367
model1936,1,0.3,0.33,0.32,27
model1936,2,0.57,0.58,0.57,123
model1936,3,0.23,0.41,0.3,29
model1936,4,0.39,0.28,0.33,25
model1937,0,0.98,0.93,0.95,367
model1937,1,0.3,0.33,0.32,27
model1937,2,0.57,0.75,0.65,123
model1937,3,0.31,0.17,0.22,29
model1937,4,0.39,0.28,0.33,25
model1938,0,0.98,0.93,0.95,367
model1938,1,0.3,0.33,0.32,27
model1938,2,0.63,0.53,0.58,123
model1938,3,0.22,0.55,0.31,29
model1938,4,0.39,0.28,0.33,25
model1939,0,0.98,0.93,0.95,367
model1939,1,0.3,0.33,0.32,27
model1939,2,0.61,0.66,0.63,123
model1939,3,0.18,0.28,0.22,29
model1939,4,0.39,0.28,0.33,25
model1945,0,0.98,0.93,0.95,367
model1945,1,0.3,0.33,0.32,27
model1945,2,0.58,0.67,0.62,123
model1945,3,0.25,0.24,0.25,29
model1945,4,0.23,0.24,0.24,25
model1946,0,0.98,0.93,0.95,367
model1946,1,0.3,0.33,0.32,27
model1946,2,0.54,0.54,0.54,123
model1946,3,0.26,0.41,0.32,29
model1946,4,0.23,0.24,0.24,25
model1947,0,0.98,0.93,0.95,367
model1947,1,0.3,0.33,0.32,27
model1947,2,0.55,0.69,0.61,123
model1947,3,0.33,0.17,0.23,29
model1947,4,0.23,0.24,0.24,25
model1948,0,0.98,0.93,0.95,367
model1948,1,0.3,0.33,0.32,27
model1948,2,0.61,0.48,0.54,123
model1948,3,0.22,0.55,0.32,29
model1948,4,0.23,0.24,0.24,25
model1949,0,0.98,0.93,0.95,367
model1949,1,0.3,0.33,0.32,27
model1949,2,0.59,0.6,0.6,123
model1949,3,0.18,0.28,0.22,29
model1949,4,0.23,0.24,0.24,25
model1955,0,0.98,0.93,0.95,367
model1955,1,0.3,0.33,0.32,27
model1955,2,0.61,0.69,0.65,123
model1955,3,0.25,0.24,0.25,29
model1955,4,0.3,0.32,0.31,25
model1956,0,0.98,0.93,0.95,367
model1956,1,0.3,0.33,0.32,27
model1956,2,0.57,0.56,0.57,123
model1956,3,0.26,0.41,0.32,29
model1956,4,0.3,0.32,0.31,25
model1957,0,0.98,0.93,0.95,367
model1957,1,0.3,0.33,0.32,27
model1957,2,0.57,0.71,0.63,123
model1957,3,0.31,0.17,0.22,29
model1957,4,0.3,0.32,0.31,25
model1958,0,0.98,0.93,0.95,367
model1958,1,0.3,0.33,0.32,27
model1958,2,0.64,0.5,0.56,123
model1958,3,0.22,0.55,0.32,29
model1958,4,0.3,0.32,0.31,25
model1959,0,0.98,0.93,0.95,367
model1959,1,0.3,0.33,0.32,27
model1959,2,0.61,0.61,0.61,123
model1959,3,0.17,0.28,0.21,29
model1959,4,0.3,0.32,0.31,25
model11025,0,0.98,0.93,0.95,367
model11025,1,0.34,0.41,0.37,27
model11025,2,0.59,0.71,0.64,123
model11025,3,0.35,0.28,0.31,29
model11025,4,0.09,0.08,0.09,25
model11026,0,0.98,0.93,0.95,367
model11026,1,0.34,0.41,0.37,27
model11026,2,0.56,0.54,0.55,123
model11026,3,0.25,0.45,0.33,29
model11026,4,0.09,0.08,0.09,25
model11027,0,0.98,0.93,0.95,367
model11027,1,0.34,0.41,0.37,27
model11027,2,0.57,0.72,0.64,123
model11027,3,0.35,0.21,0.26,29
model11027,4,0.09,0.08,0.09,25
model11028,0,0.98,0.93,0.95,367
model11028,1,0.34,0.41,0.37,27
model11028,2,0.63,0.5,0.56,123
model11028,3,0.22,0.55,0.32,29
model11028,4,0.09,0.08,0.09,25
model11029,0,0.98,0.93,0.95,367
model11029,1,0.34,0.41,0.37,27
model11029,2,0.59,0.63,0.61,123
model11029,3,0.2,0.28,0.23,29
model11029,4,0.09,0.08,0.09,25
model11035,0,0.98,0.93,0.95,367
model11035,1,0.34,0.41,0.37,27
model11035,2,0.6,0.72,0.66,123
model11035,3,0.26,0.24,0.25,29
model11035,4,0.39,0.28,0.33,25
model11036,0,0.98,0.93,0.95,367
model11036,1,0.34,0.41,0.37,27
model11036,2,0.58,0.58,0.58,123
model11036,3,0.23,0.41,0.3,29
model11036,4,0.39,0.28,0.33,25
model11037,0,0.98,0.93,0.95,367
model11037,1,0.34,0.41,0.37,27
model11037,2,0.58,0.76,0.66,123
model11037,3,0.31,0.17,0.22,29
model11037,4,0.39,0.28,0.33,25
model11038,0,0.98,0.93,0.95,367
model11038,1,0.34,0.41,0.37,27
model11038,2,0.64,0.54,0.58,123
model11038,3,0.22,0.55,0.32,29
model11038,4,0.39,0.28,0.33,25
model11039,0,0.98,0.93,0.95,367
model11039,1,0.34,0.41,0.37,27
model11039,2,0.61,0.67,0.64,123
model11039,3,0.2,0.28,0.23,29
model11039,4,0.39,0.28,0.33,25
model11045,0,0.98,0.93,0.95,367
model11045,1,0.34,0.41,0.37,27
model11045,2,0.59,0.67,0.63,123
model11045,3,0.27,0.24,0.25,29
model11045,4,0.23,0.24,0.24,25
model11046,0,0.98,0.93,0.95,367
model11046,1,0.34,0.41,0.37,27
model11046,2,0.56,0.54,0.55,123
model11046,3,0.26,0.41,0.32,29
model11046,4,0.23,0.24,0.24,25
model11047,0,0.98,0.93,0.95,367
model11047,1,0.34,0.41,0.37,27
model11047,2,0.57,0.71,0.63,123
model11047,3,0.33,0.17,0.23,29
model11047,4,0.23,0.24,0.24,25
model11048,0,0.98,0.93,0.95,367
model11048,1,0.34,0.41,0.37,27
model11048,2,0.62,0.49,0.55,123
model11048,3,0.23,0.55,0.32,29
model11048,4,0.23,0.24,0.24,25
model11049,0,0.98,0.93,0.95,367
model11049,1,0.34,0.41,0.37,27
model11049,2,0.6,0.62,0.61,123
model11049,3,0.2,0.28,0.23,29
model11049,4,0.23,0.24,0.24,25
model11055,0,0.98,0.93,0.95,367
model11055,1,0.34,0.41,0.37,27
model11055,2,0.61,0.71,0.65,123
model11055,3,0.27,0.24,0.25,29
model11055,4,0.33,0.32,0.33,25
model11056,0,0.98,0.93,0.95,367
model11056,1,0.34,0.41,0.37,27
model11056,2,0.58,0.58,0.58,123
model11056,3,0.26,0.41,0.32,29
model11056,4,0.33,0.32,0.33,25
model11057,0,0.98,0.93,0.95,367
model11057,1,0.34,0.41,0.37,27
model11057,2,0.59,0.73,0.65,123
model11057,3,0.31,0.17,0.22,29
model11057,4,0.33,0.32,0.33,25
model11058,0,0.98,0.93,0.95,367
model11058,1,0.34,0.41,0.37,27
model11058,2,0.65,0.52,0.58,123
model11058,3,0.23,0.55,0.32,29
model11058,4,0.33,0.32,0.33,25
model11059,0,0.98,0.93,0.95,367
model11059,1,0.34,0.41,0.37,27
model11059,2,0.61,0.63,0.62,123
model11059,3,0.19,0.28,0.23,29
model11059,4,0.33,0.32,0.33,25
model11125,0,0.98,0.93,0.95,367
model11125,1,0.41,0.26,0.32,27
model11125,2,0.57,0.75,0.65,123
model11125,3,0.32,0.28,0.3,29
model11125,4,0.1,0.08,0.09,25
model11126,0,0.98,0.93,0.95,367
model11126,1,0.41,0.26,0.32,27
model11126,2,0.54,0.58,0.56,123
model11126,3,0.24,0.45,0.31,29
model11126,4,0.1,0.08,0.09,25
model11127,0,0.98,0.93,0.95,367
model11127,1,0.41,0.26,0.32,27
model11127,2,0.55,0.76,0.63,123
model11127,3,0.35,0.21,0.26,29
model11127,4,0.1,0.08,0.09,25
model11128,0,0.98,0.93,0.95,367
model11128,1,0.41,0.26,0.32,27
model11128,2,0.6,0.53,0.56,123
model11128,3,0.21,0.55,0.3,29
model11128,4,0.1,0.08,0.09,25
model11129,0,0.98,0.93,0.95,367
model11129,1,0.41,0.26,0.32,27
model11129,2,0.57,0.66,0.61,123
model11129,3,0.18,0.28,0.22,29
model11129,4,0.1,0.08,0.09,25
model11135,0,0.98,0.93,0.95,367
model11135,1,0.41,0.26,0.32,27
model11135,2,0.58,0.76,0.66,123
model11135,3,0.24,0.24,0.24,29
model11135,4,0.35,0.28,0.31,25
model11136,0,0.98,0.93,0.95,367
model11136,1,0.41,0.26,0.32,27
model11136,2,0.56,0.6,0.58,123
model11136,3,0.21,0.41,0.28,29
model11136,4,0.35,0.28,0.31,25
model11137,0,0.98,0.93,0.95,367
model11137,1,0.41,0.26,0.32,27
model11137,2,0.56,0.79,0.66,123
model11137,3,0.31,0.17,0.22,29
model11137,4,0.35,0.28,0.31,25
model11138,0,0.98,0.93,0.95,367
model11138,1,0.41,0.26,0.32,27
model11138,2,0.62,0.55,0.58,123
model11138,3,0.21,0.55,0.3,29
model11138,4,0.35,0.28,0.31,25
model11139,0,0.98,0.93,0.95,367
model11139,1,0.41,0.26,0.32,27
model11139,2,0.59,0.69,0.64,123
model11139,3,0.18,0.28,0.22,29
model11139,4,0.35,0.28,0.31,25
model11145,0,0.98,0.93,0.95,367
model11145,1,0.41,0.26,0.32,27
model11145,2,0.57,0.7,0.63,123
model11145,3,0.25,0.24,0.25,29
model11145,4,0.21,0.24,0.23,25
model11146,0,0.98,0.93,0.95,367
model11146,1,0.41,0.26,0.32,27
model11146,2,0.54,0.57,0.55,123
model11146,3,0.24,0.41,0.3,29
model11146,4,0.21,0.24,0.23,25
model11147,0,0.98,0.93,0.95,367
model11147,1,0.41,0.26,0.32,27
model11147,2,0.55,0.73,0.62,123
model11147,3,0.33,0.17,0.23,29
model11147,4,0.21,0.24,0.23,25
model11148,0,0.98,0.93,0.95,367
model11148,1,0.41,0.26,0.32,27
model11148,2,0.6,0.5,0.55,123
model11148,3,0.21,0.55,0.3,29
model11148,4,0.21,0.24,0.23,25
model11149,0,0.98,0.93,0.95,367
model11149,1,0.41,0.26,0.32,27
model11149,2,0.58,0.63,0.6,123
model11149,3,0.18,0.28,0.22,29
model11149,4,0.21,0.24,0.23,25
model11155,0,0.98,0.93,0.95,367
model11155,1,0.41,0.26,0.32,27
model11155,2,0.6,0.75,0.66,123
model11155,3,0.25,0.24,0.25,29
model11155,4,0.31,0.32,0.31,25
model11156,0,0.98,0.93,0.95,367
model11156,1,0.41,0.26,0.32,27
model11156,2,0.57,0.61,0.59,123
model11156,3,0.24,0.41,0.3,29
model11156,4,0.31,0.32,0.31,25
model11157,0,0.98,0.93,0.95,367
model11157,1,0.41,0.26,0.32,27
model11157,2,0.57,0.77,0.66,123
model11157,3,0.31,0.17,0.22,29
model11157,4,0.31,0.32,0.31,25
model11158,0,0.98,0.93,0.95,367
model11158,1,0.41,0.26,0.32,27
model11158,2,0.63,0.54,0.58,123
model11158,3,0.21,0.55,0.31,29
model11158,4,0.31,0.32,0.31,25
model11159,0,0.98,0.93,0.95,367
model11159,1,0.41,0.26,0.32,27
model11159,2,0.61,0.67,0.64,123
model11159,3,0.17,0.28,0.21,29
model11159,4,0.31,0.32,0.31,25
model11225,0,0.98,0.93,0.95,367
model11225,1,0.4,0.22,0.29,27
model11225,2,0.58,0.76,0.66,123
model11225,3,0.31,0.28,0.29,29
model11225,4,0.09,0.08,0.08,25
model11226,0,0.98,0.93,0.95,367
model11226,1,0.4,0.22,0.29,27
model11226,2,0.54,0.59,0.56,123
model11226,3,0.24,0.45,0.31,29
model11226,4,0.09,0.08,0.08,25
model11227,0,0.98,0.93,0.95,367
model11227,1,0.4,0.22,0.29,27
model11227,2,0.56,0.77,0.65,123
model11227,3,0.35,0.21,0.26,29
model11227,4,0.09,0.08,0.08,25
model11228,0,0.98,0.93,0.95,367
model11228,1,0.4,0.22,0.29,27
model11228,2,0.6,0.53,0.56,123
model11228,3,0.21,0.55,0.3,29
model11228,4,0.09,0.08,0.08,25
model11229,0,0.98,0.93,0.95,367
model11229,1,0.4,0.22,0.29,27
model11229,2,0.58,0.67,0.62,123
model11229,3,0.17,0.28,0.21,29
model11229,4,0.09,0.08,0.08,25
