Model,class,precision,recall,f1_score,support
model2356,2,0.66,0.56,0.61,123
model2356,3,0.28,0.41,0.33,29
model2356,4,0.33,0.32,0.33,25
model2357,0,0.98,0.99,0.98,367
model2357,1,0.37,0.37,0.37,27
model2357,2,0.66,0.71,0.68,123
model2357,3,0.31,0.17,0.22,29
model2357,4,0.33,0.32,0.33,25
model2358,0,0.98,0.99,0.98,367
model2358,1,0.37,0.37,0.37,27
model2358,2,0.69,0.5,0.58,123
model2358,3,0.25,0.52,0.34,29
model2358,4,0.33,0.32,0.33,25
model2359,0,0.98,0.99,0.98,367
model2359,1,0.37,0.37,0.37,27
model2359,2,0.66,0.62,0.64,123
model2359,3,0.21,0.24,0.23,29
model2359,4,0.33,0.32,0.33,25
model2425,0,0.98,0.99,0.98,367
model2425,1,0.36,0.3,0.33,27
model2425,2,0.62,0.71,0.66,123
model2425,3,0.4,0.28,0.33,29
model2425,4,0.12,0.08,0.1,25
model2426,0,0.98,0.99,0.98,367
model2426,1,0.36,0.3,0.33,27
model2426,2,0.6,0.54,0.57,123
model2426,3,0.27,0.45,0.34,29
model2426,4,0.12,0.08,0.1,25
model2427,0,0.98,0.99,0.98,367
model2427,1,0.36,0.3,0.33,27
model2427,2,0.62,0.72,0.66,123
model2427,3,0.35,0.21,0.26,29
model2427,4,0.12,0.08,0.1,25
model2428,0,0.98,0.99,0.98,367
model2428,1,0.36,0.3,0.33,27
model2428,2,0.64,0.5,0.56,123
model2428,3,0.25,0.55,0.34,29
model2428,4,0.12,0.08,0.1,25
model2429,0,0.98,0.99,0.98,367
model2429,1,0.36,0.3,0.33,27
model2429,2,0.61,0.62,0.62,123
model2429,3,0.22,0.28,0.25,29
model2429,4,0.12,0.08,0.1,25
model2435,0,0.98,0.99,0.98,367
model2435,1,0.36,0.3,0.33,27
model2435,2,0.64,0.72,0.68,123
model2435,3,0.32,0.24,0.27,29
model2435,4,0.39,0.28,0.33,25
model2436,0,0.98,0.99,0.98,367
model2436,1,0.36,0.3,0.33,27
model2436,2,0.63,0.56,0.59,123
model2436,3,0.24,0.41,0.31,29
model2436,4,0.39,0.28,0.33,25
model2437,0,0.98,0.99,0.98,367
model2437,1,0.36,0.3,0.33,27
model2437,2,0.64,0.74,0.68,123
model2437,3,0.31,0.17,0.22,29
model2437,4,0.39,0.28,0.33,25
model2438,0,0.98,0.99,0.98,367
model2438,1,0.36,0.3,0.33,27
model2438,2,0.66,0.51,0.58,123
model2438,3,0.25,0.55,0.34,29
model2438,4,0.39,0.28,0.33,25
model2439,0,0.98,0.99,0.98,367
model2439,1,0.36,0.3,0.33,27
model2439,2,0.64,0.64,0.64,123
model2439,3,0.23,0.28,0.25,29
model2439,4,0.39,0.28,0.33,25
model2445,0,0.98,0.99,0.98,367
model2445,1,0.36,0.3,0.33,27
model2445,2,0.63,0.68,0.65,123
model2445,3,0.35,0.24,0.29,29
model2445,4,0.26,0.24,0.25,25
model2446,0,0.98,0.99,0.98,367
model2446,1,0.36,0.3,0.33,27
model2446,2,0.61,0.54,0.58,123
model2446,3,0.27,0.41,0.33,29
model2446,4,0.26,0.24,0.25,25
model2447,0,0.98,0.99,0.98,367
model2447,1,0.36,0.3,0.33,27
model2447,2,0.63,0.71,0.66,123
model2447,3,0.33,0.17,0.23,29
model2447,4,0.26,0.24,0.25,25
model2448,0,0.98,0.99,0.98,367
model2448,1,0.36,0.3,0.33,27
model2448,2,0.65,0.48,0.55,123
model2448,3,0.25,0.55,0.35,29
model2448,4,0.26,0.24,0.25,25
model2449,0,0.98,0.99,0.98,367
model2449,1,0.36,0.3,0.33,27
model2449,2,0.62,0.61,0.62,123
model2449,3,0.24,0.28,0.25,29
model2449,4,0.26,0.24,0.25,25
model2455,0,0.98,0.99,0.98,367
model2455,1,0.36,0.3,0.33,27
model2455,2,0.66,0.72,0.68,123
model2455,3,0.33,0.24,0.28,29
model2455,4,0.36,0.32,0.34,25
model2456,0,0.98,0.99,0.98,367
model2456,1,0.36,0.3,0.33,27
model2456,2,0.65,0.58,0.61,123
model2456,3,0.27,0.41,0.32,29
model2456,4,0.36,0.32,0.34,25
model2457,0,0.98,0.99,0.98,367
model2457,1,0.36,0.3,0.33,27
model2457,2,0.65,0.73,0.69,123
model2457,3,0.31,0.17,0.22,29
model2457,4,0.36,0.32,0.34,25
model2458,0,0.98,0.99,0.98,367
model2458,1,0.36,0.3,0.33,27
model2458,2,0.68,0.51,0.59,123
model2458,3,0.25,0.55,0.35,29
model2458,4,0.36,0.32,0.34,25
model2459,0,0.98,0.99,0.98,367
model2459,1,0.36,0.3,0.33,27
model2459,2,0.65,0.63,0.64,123
model2459,3,0.22,0.28,0.24,29
model2459,4,0.36,0.32,0.34,25
model2525,0,0.98,0.99,0.98,367
model2525,1,0.18,0.33,0.23,27
model2525,2,0.64,0.61,0.62,123
model2525,3,0.38,0.21,0.27,29
model2525,4,0.07,0.04,0.05,25
model2526,0,0.98,0.99,0.98,367
model2526,1,0.18,0.33,0.23,27
model2526,2,0.62,0.46,0.53,123
model2526,3,0.25,0.38,0.3,29
model2526,4,0.07,0.04,0.05,25
model2527,0,0.98,0.99,0.98,367
model2527,1,0.18,0.33,0.23,27
model2527,2,0.63,0.61,0.62,123
model2527,3,0.4,0.21,0.27,29
model2527,4,0.07,0.04,0.05,25
model2528,0,0.98,0.99,0.98,367
model2528,1,0.18,0.33,0.23,27
model2528,2,0.65,0.44,0.52,123
model2528,3,0.24,0.41,0.3,29
model2528,4,0.07,0.04,0.05,25
model2529,0,0.98,0.99,0.98,367
model2529,1,0.18,0.33,0.23,27
model2529,2,0.65,0.55,0.6,123
model2529,3,0.27,0.28,0.27,29
model2529,4,0.07,0.04,0.05,25
model2535,0,0.98,0.99,0.98,367
model2535,1,0.18,0.33,0.23,27
model2535,2,0.68,0.64,0.66,123
model2535,3,0.28,0.17,0.21,29
model2535,4,0.43,0.24,0.31,25
model2536,0,0.98,0.99,0.98,367
model2536,1,0.18,0.33,0.23,27
model2536,2,0.68,0.5,0.57,123
model2536,3,0.22,0.34,0.27,29
model2536,4,0.43,0.24,0.31,25
model2537,0,0.98,0.99,0.98,367
model2537,1,0.18,0.33,0.23,27
model2537,2,0.67,0.66,0.66,123
model2537,3,0.36,0.17,0.23,29
model2537,4,0.43,0.24,0.31,25
model2538,0,0.98,0.99,0.98,367
model2538,1,0.18,0.33,0.23,27
model2538,2,0.68,0.47,0.56,123
model2538,3,0.22,0.38,0.28,29
model2538,4,0.43,0.24,0.31,25
model2539,0,0.98,0.99,0.98,367
model2539,1,0.18,0.33,0.23,27
model2539,2,0.69,0.59,0.64,123
model2539,3,0.24,0.24,0.24,29
model2539,4,0.43,0.24,0.31,25
model2545,0,0.98,0.99,0.98,367
model2545,1,0.18,0.33,0.23,27
model2545,2,0.65,0.6,0.63,123
model2545,3,0.31,0.17,0.22,29
model2545,4,0.25,0.2,0.22,25
model2546,0,0.98,0.99,0.98,367
model2546,1,0.18,0.33,0.23,27
model2546,2,0.65,0.47,0.55,123
model2546,3,0.25,0.34,0.29,29
model2546,4,0.25,0.2,0.22,25
model2547,0,0.98,0.99,0.98,367
model2547,1,0.18,0.33,0.23,27
model2547,2,0.66,0.62,0.64,123
model2547,3,0.38,0.17,0.24,29
model2547,4,0.25,0.2,0.22,25
model2548,0,0.98,0.99,0.98,367
model2548,1,0.18,0.33,0.23,27
model2548,2,0.66,0.44,0.53,123
model2548,3,0.23,0.38,0.29,29
model2548,4,0.25,0.2,0.22,25
model2549,0,0.98,0.99,0.98,367
model2549,1,0.18,0.33,0.23,27
model2549,2,0.68,0.56,0.61,123
model2549,3,0.26,0.24,0.25,29
model2549,4,0.25,0.2,0.22,25
model2555,0,0.98,0.99,0.98,367
model2555,1,0.18,0.33,0.23,27
model2555,2,0.68,0.61,0.64,123
model2555,3,0.29,0.17,0.22,29
model2555,4,0.32,0.28,0.3,25
model2556,0,0.98,0.99,0.98,367
model2556,1,0.18,0.33,0.23,27
model2556,2,0.69,0.48,0.56,123
model2556,3,0.24,0.34,0.29,29
model2556,4,0.32,0.28,0.3,25
model2557,0,0.98,0.99,0.98,367
model2557,1,0.18,0.33,0.23,27
model2557,2,0.67,0.62,0.64,123
model2557,3,0.36,0.17,0.23,29
model2557,4,0.32,0.28,0.3,25
model2558,0,0.98,0.99,0.98,367
model2558,1,0.18,0.33,0.23,27
model2558,2,0.69,0.45,0.54,123
model2558,3,0.23,0.38,0.29,29
model2558,4,0.32,0.28,0.3,25
model2559,0,0.98,0.99,0.98,367
model2559,1,0.18,0.33,0.23,27
model2559,2,0.7,0.55,0.62,123
model2559,3,0.23,0.24,0.24,29
model2559,4,0.32,0.28,0.3,25
model2625,0,0.98,0.99,0.98,367
model2625,1,0.24,0.44,0.31,27
model2625,2,0.63,0.6,0.62,123
model2625,3,0.38,0.21,0.27,29
model2625,4,0.07,0.04,0.05,25
model2626,0,0.98,0.99,0.98,367
model2626,1,0.24,0.44,0.31,27
model2626,2,0.62,0.46,0.53,123
model2626,3,0.26,0.38,0.31,29
model2626,4,0.07,0.04,0.05,25
model2627,0,0.98,0.99,0.98,367
model2627,1,0.24,0.44,0.31,27
model2627,2,0.63,0.62,0.63,123
model2627,3,0.46,0.21,0.29,29
model2627,4,0.07,0.04,0.05,25
model2628,0,0.98,0.99,0.98,367
model2628,1,0.24,0.44,0.31,27
model2628,2,0.66,0.46,0.54,123
model2628,3,0.25,0.41,0.31,29
model2628,4,0.07,0.04,0.05,25
model2629,0,0.98,0.99,0.98,367
model2629,1,0.24,0.44,0.31,27
model2629,2,0.65,0.55,0.6,123
model2629,3,0.28,0.28,0.28,29
model2629,4,0.07,0.04,0.05,25
model2635,0,0.98,0.99,0.98,367
model2635,1,0.24,0.44,0.31,27
model2635,2,0.67,0.63,0.65,123
model2635,3,0.29,0.17,0.22,29
model2635,4,0.43,0.24,0.31,25
model2636,0,0.98,0.99,0.98,367
model2636,1,0.24,0.44,0.31,27
model2636,2,0.67,0.5,0.57,123
model2636,3,0.23,0.34,0.28,29
model2636,4,0.43,0.24,0.31,25
model2637,0,0.98,0.99,0.98,367
model2637,1,0.24,0.44,0.31,27
model2637,2,0.67,0.67,0.67,123
model2637,3,0.42,0.17,0.24,29
model2637,4,0.43,0.24,0.31,25
model2638,0,0.98,0.99,0.98,367
model2638,1,0.24,0.44,0.31,27
model2638,2,0.69,0.49,0.57,123
model2638,3,0.26,0.41,0.32,29
model2638,4,0.43,0.24,0.31,25
model2639,0,0.98,0.99,0.98,367
model2639,1,0.24,0.44,0.31,27
model2639,2,0.69,0.59,0.64,123
model2639,3,0.29,0.28,0.28,29
model2639,4,0.43,0.24,0.31,25
model2645,0,0.98,0.99,0.98,367
model2645,1,0.24,0.44,0.31,27
model2645,2,0.64,0.59,0.61,123
model2645,3,0.31,0.17,0.22,29
model2645,4,0.25,0.2,0.22,25
model2646,0,0.98,0.99,0.98,367
model2646,1,0.24,0.44,0.31,27
model2646,2,0.64,0.47,0.54,123
model2646,3,0.26,0.34,0.3,29
model2646,4,0.25,0.2,0.22,25
model2647,0,0.98,0.99,0.98,367
model2647,1,0.24,0.44,0.31,27
model2647,2,0.65,0.62,0.63,123
model2647,3,0.45,0.17,0.25,29
model2647,4,0.25,0.2,0.22,25
model2648,0,0.98,0.99,0.98,367
model2648,1,0.24,0.44,0.31,27
model2648,2,0.66,0.45,0.53,123
model2648,3,0.27,0.41,0.32,29
model2648,4,0.25,0.2,0.22,25
model2649,0,0.98,0.99,0.98,367
model2649,1,0.24,0.44,0.31,27
model2649,2,0.67,0.55,0.61,123
model2649,3,0.3,0.28,0.29,29
model2649,4,0.25,0.2,0.22,25
model2655,0,0.98,0.99,0.98,367
model2655,1,0.24,0.44,0.31,27
model2655,2,0.67,0.6,0.64,123
model2655,3,0.31,0.17,0.22,29
model2655,4,0.32,0.28,0.3,25
model2656,0,0.98,0.99,0.98,367
model2656,1,0.24,0.44,0.31,27
model2656,2,0.68,0.48,0.56,123
model2656,3,0.26,0.34,0.29,29
model2656,4,0.32,0.28,0.3,25
model2657,0,0.98,0.99,0.98,367
model2657,1,0.24,0.44,0.31,27
model2657,2,0.68,0.63,0.65,123
model2657,3,0.42,0.17,0.24,29
model2657,4,0.32,0.28,0.3,25
model2658,0,0.98,0.99,0.98,367
model2658,1,0.24,0.44,0.31,27
model2658,2,0.7,0.46,0.56,123
model2658,3,0.27,0.41,0.33,29
model2658,4,0.32,0.28,0.3,25
model2659,0,0.98,0.99,0.98,367
model2659,1,0.24,0.44,0.31,27
model2659,2,0.7,0.55,0.62,123
model2659,3,0.28,0.28,0.28,29
model2659,4,0.32,0.28,0.3,25
model2725,0,0.98,0.99,0.98,367
model2725,1,0.15,0.78,0.25,27
model2725,2,0.54,0.2,0.3,123
model2725,3,0.3,0.1,0.15,29
model2725,4,0,0,0,25
model2726,0,0.98,0.99,0.98,367
model2726,1,0.15,0.78,0.25,27
model2726,2,0.55,0.15,0.23,123
model2726,3,0.3,0.24,0.27,29
model2726,4,0,0,0,25
model2727,0,0.98,0.99,0.98,367
model2727,1,0.15,0.78,0.25,27
model2727,2,0.57,0.21,0.31,123
model2727,3,0.4,0.14,0.21,29
model2727,4,0,0,0,25
model2728,0,0.98,0.99,0.98,367
model2728,1,0.15,0.78,0.25,27
model2728,2,0.58,0.12,0.2,123
model2728,3,0.27,0.28,0.27,29
model2728,4,0,0,0,25
model2729,0,0.98,0.99,0.98,367
model2729,1,0.15,0.78,0.25,27
model2729,2,0.57,0.17,0.26,123
model2729,3,0.26,0.17,0.21,29
model2729,4,0,0,0,25
model2735,0,0.98,0.99,0.98,367
model2735,1,0.15,0.78,0.25,27
model2735,2,0.61,0.22,0.32,123
model2735,3,0.2,0.07,0.1,29
model2735,4,0.57,0.16,0.25,25
model2736,0,0.98,0.99,0.98,367
model2736,1,0.15,0.78,0.25,27
model2736,2,0.66,0.17,0.27,123
model2736,3,0.27,0.21,0.24,29
model2736,4,0.57,0.16,0.25,25
model2737,0,0.98,0.99,0.98,367
model2737,1,0.15,0.78,0.25,27
model2737,2,0.64,0.24,0.35,123
model2737,3,0.33,0.1,0.16,29
model2737,4,0.57,0.16,0.25,25
model2738,0,0.98,0.99,0.98,367
model2738,1,0.15,0.78,0.25,27
model2738,2,0.67,0.15,0.24,123
model2738,3,0.3,0.28,0.29,29
model2738,4,0.57,0.16,0.25,25
model2739,0,0.98,0.99,0.98,367
model2739,1,0.15,0.78,0.25,27
model2739,2,0.65,0.2,0.3,123
model2739,3,0.29,0.17,0.22,29
model2739,4,0.57,0.16,0.25,25
model2745,0,0.98,0.99,0.98,367
model2745,1,0.15,0.78,0.25,27
model2745,2,0.57,0.2,0.29,123
model2745,3,0.22,0.07,0.11,29
model2745,4,0.3,0.12,0.17,25
model2746,0,0.98,0.99,0.98,367
model2746,1,0.15,0.78,0.25,27
model2746,2,0.58,0.15,0.23,123
model2746,3,0.3,0.21,0.24,29
model2746,4,0.3,0.12,0.17,25
model2747,0,0.98,0.99,0.98,367
model2747,1,0.15,0.78,0.25,27
model2747,2,0.6,0.21,0.31,123
model2747,3,0.38,0.1,0.16,29
model2747,4,0.3,0.12,0.17,25
model2748,0,0.98,0.99,0.98,367
model2748,1,0.15,0.78,0.25,27
model2748,2,0.61,0.11,0.19,123
model2748,3,0.29,0.28,0.28,29
model2748,4,0.3,0.12,0.17,25
model2749,0,0.98,0.99,0.98,367
model2749,1,0.15,0.78,0.25,27
model2749,2,0.62,0.16,0.26,123
model2749,3,0.26,0.17,0.21,29
model2749,4,0.3,0.12,0.17,25
model2755,0,0.98,0.99,0.98,367
model2755,1,0.15,0.78,0.25,27
model2755,2,0.62,0.23,0.33,123
model2755,3,0.22,0.07,0.11,29
model2755,4,0.57,0.16,0.25,25
model2756,0,0.98,0.99,0.98,367
model2756,1,0.15,0.78,0.25,27
model2756,2,0.62,0.16,0.26,123
model2756,3,0.27,0.21,0.24,29
model2756,4,0.57,0.16,0.25,25
model2757,0,0.98,0.99,0.98,367
model2757,1,0.15,0.78,0.25,27
model2757,2,0.64,0.24,0.35,123
model2757,3,0.33,0.1,0.16,29
model2757,4,0.57,0.16,0.25,25
model2758,0,0.98,0.99,0.98,367
model2758,1,0.15,0.78,0.25,27
model2758,2,0.65,0.14,0.23,123
model2758,3,0.29,0.28,0.28,29
model2758,4,0.57,0.16,0.25,25
model2759,0,0.98,0.99,0.98,367
model2759,1,0.15,0.78,0.25,27
model2759,2,0.66,0.19,0.29,123
model2759,3,0.26,0.17,0.21,29
model2759,4,0.57,0.16,0.25,25
model2825,0,0.98,0.99,0.98,367
model2825,1,0.5,0.26,0.34,27
model2825,2,0.63,0.75,0.68,123
model2825,3,0.4,0.28,0.33,29
model2825,4,0.11,0.08,0.09,25
model2826,0,0.98,0.99,0.98,367
model2826,1,0.5,0.26,0.34,27
model2826,2,0.6,0.57,0.58,123
model2826,3,0.26,0.45,0.33,29
model2826,4,0.11,0.08,0.09,25
model2827,0,0.98,0.99,0.98,367
model2827,1,0.5,0.26,0.34,27
model2827,2,0.62,0.76,0.68,123
model2827,3,0.35,0.21,0.26,29
model2827,4,0.11,0.08,0.09,25
model2828,0,0.98,0.99,0.98,367
model2828,1,0.5,0.26,0.34,27
model2828,2,0.65,0.52,0.58,123
model2828,3,0.24,0.55,0.33,29
model2828,4,0.11,0.08,0.09,25
model2829,0,0.98,0.99,0.98,367
model2829,1,0.5,0.26,0.34,27
model2829,2,0.61,0.64,0.63,123
model2829,3,0.21,0.28,0.24,29
model2829,4,0.11,0.08,0.09,25
model2835,0,0.98,0.99,0.98,367
model2835,1,0.5,0.26,0.34,27
model2835,2,0.64,0.75,0.69,123
model2835,3,0.3,0.24,0.27,29
model2835,4,0.37,0.28,0.32,25
model2836,0,0.98,0.99,0.98,367
model2836,1,0.5,0.26,0.34,27
model2836,2,0.63,0.59,0.61,123
model2836,3,0.24,0.41,0.3,29
model2836,4,0.37,0.28,0.32,25
model2837,0,0.98,0.99,0.98,367
model2837,1,0.5,0.26,0.34,27
model2837,2,0.64,0.78,0.7,123
model2837,3,0.31,0.17,0.22,29
model2837,4,0.37,0.28,0.32,25
model2838,0,0.98,0.99,0.98,367
model2838,1,0.5,0.26,0.34,27
model2838,2,0.67,0.54,0.59,123
model2838,3,0.24,0.55,0.33,29
model2838,4,0.37,0.28,0.32,25
model2839,0,0.98,0.99,0.98,367
model2839,1,0.5,0.26,0.34,27
model2839,2,0.64,0.67,0.66,123
model2839,3,0.22,0.28,0.25,29
model2839,4,0.37,0.28,0.32,25
model2845,0,0.98,0.99,0.98,367
model2845,1,0.5,0.26,0.34,27
model2845,2,0.64,0.72,0.68,123
model2845,3,0.33,0.24,0.28,29
model2845,4,0.25,0.24,0.24,25
model2846,0,0.98,0.99,0.98,367
model2846,1,0.5,0.26,0.34,27
model2846,2,0.62,0.58,0.6,123
model2846,3,0.26,0.41,0.32,29
model2846,4,0.25,0.24,0.24,25
model2847,0,0.98,0.99,0.98,367
model2847,1,0.5,0.26,0.34,27
model2847,2,0.64,0.76,0.69,123
model2847,3,0.33,0.17,0.23,29
model2847,4,0.25,0.24,0.24,25
model2848,0,0.98,0.99,0.98,367
model2848,1,0.5,0.26,0.34,27
model2848,2,0.66,0.51,0.58,123
model2848,3,0.24,0.55,0.34,29
model2848,4,0.25,0.24,0.24,25
model2849,0,0.98,0.99,0.98,367
model2849,1,0.5,0.26,0.34,27
model2849,2,0.63,0.64,0.64,123
model2849,3,0.22,0.28,0.25,29
model2849,4,0.25,0.24,0.24,25
model2855,0,0.98,0.99,0.98,367
model2855,1,0.5,0.26,0.34,27
model2855,2,0.66,0.74,0.7,123
model2855,3,0.32,0.24,0.27,29
model2855,4,0.32,0.32,0.32,25
model2856,0,0.98,0.99,0.98,367
model2856,1,0.5,0.26,0.34,27
model2856,2,0.65,0.59,0.62,123
model2856,3,0.26,0.41,0.32,29
model2856,4,0.32,0.32,0.32,25
model2857,0,0.98,0.99,0.98,367
model2857,1,0.5,0.26,0.34,27
model2857,2,0.65,0.76,0.7,123
model2857,3,0.31,0.17,0.22,29
model2857,4,0.32,0.32,0.32,25
model2858,0,0.98,0.99,0.98,367
model2858,1,0.5,0.26,0.34,27
model2858,2,0.68,0.53,0.6,123
model2858,3,0.25,0.55,0.34,29
model2858,4,0.32,0.32,0.32,25
model2859,0,0.98,0.99,0.98,367
model2859,1,0.5,0.26,0.34,27
model2859,2,0.65,0.64,0.65,123
model2859,3,0.21,0.28,0.24,29
model2859,4,0.32,0.32,0.32,25
model2925,0,0.98,0.99,0.98,367
model2925,1,0.36,0.3,0.33,27
model2925,2,0.62,0.7,0.66,123
model2925,3,0.4,0.28,0.33,29
model2925,4,0.11,0.08,0.09,25
model2926,0,0.98,0.99,0.98,367
model2926,1,0.36,0.3,0.33,27
model2926,2,0.59,0.54,0.56,123
model2926,3,0.28,0.45,0.34,29
model2926,4,0.11,0.08,0.09,25
model2927,0,0.98,0.99,0.98,367
model2927,1,0.36,0.3,0.33,27
model2927,2,0.61,0.7,0.65,123
model2927,3,0.35,0.21,0.26,29
model2927,4,0.11,0.08,0.09,25
model2928,0,0.98,0.99,0.98,367
model2928,1,0.36,0.3,0.33,27
model2928,2,0.65,0.49,0.56,123
model2928,3,0.25,0.55,0.34,29
model2928,4,0.11,0.08,0.09,25
model2929,0,0.98,0.99,0.98,367
model2929,1,0.36,0.3,0.33,27
model2929,2,0.61,0.61,0.61,123
model2929,3,0.22,0.28,0.25,29
model2929,4,0.11,0.08,0.09,25
model2935,0,0.98,0.99,0.98,367
model2935,1,0.36,0.3,0.33,27
model2935,2,0.65,0.72,0.68,123
model2935,3,0.3,0.24,0.27,29
model2935,4,0.41,0.28,0.33,25
model2936,0,0.98,0.99,0.98,367
model2936,1,0.36,0.3,0.33,27
model2936,2,0.63,0.58,0.6,123
model2936,3,0.25,0.41,0.31,29
model2936,4,0.41,0.28,0.33,25
model2937,0,0.98,0.99,0.98,367
model2937,1,0.36,0.3,0.33,27
model2937,2,0.64,0.75,0.69,123
model2937,3,0.31,0.17,0.22,29
model2937,4,0.41,0.28,0.33,25
model2938,0,0.98,0.99,0.98,367
model2938,1,0.36,0.3,0.33,27
model2938,2,0.68,0.53,0.59,123
model2938,3,0.25,0.55,0.34,29
model2938,4,0.41,0.28,0.33,25
model2939,0,0.98,0.99,0.98,367
model2939,1,0.36,0.3,0.33,27
model2939,2,0.65,0.66,0.65,123
model2939,3,0.23,0.28,0.25,29
model2939,4,0.41,0.28,0.33,25
